|descricao|ncm
80917|kit misto gordura de ra  <vlm>  c <num> un lote  <num> vencimento  <num> <num> <num>|33059000
19584|biola vr hydrather  <vlm> x<num>|33059000
91071|mascara  <peso> quina rosa haskell un|33059000
95124|n spa oleo trat cap monoi e argan  <vlm>|33059000
98894|oleo tratamento millenar oil  <vlm>  moringa amend un|33059000
103708|plastic regen   passo <num>|33059000
128116|silicon mix perla trat   <vlm>|33059000
31748|condicionador ceramidas <num>  <vlm>  folha nativa <num>x <vlm>|33059000
7831|<num> coloracao prof  no <num> <num> cor louro escuro chocolate|33059000
27623|color supreme ouro <num> <num>|33059000
97417|nut cor int <num> <num> ren|33059000
35955|cr trat keratinology pos prog  <peso>|33059000
132532|t nut  <vlm> ouro claro|33059000
22810|casting gloss tint <num>|33059000
1963|<num> <num> inoa <num> <num>|33059000
30355|cond seda liso perfeito  <vlm>  un <num>|33059000
31387|condicionador  <vlm>  mandioca haskell un|33059000
138011|tintura koleston espuma <num> amora  <peso>|33059000
31976|condicionador fio restore balance|33059000
112345|rk rfmcolor <num>na light ash|33059000
34953|cr novex  <peso> oleo de coco trat <num> un<num>un|33059000
102994|pf tint maxton <num> <num> preto  <peso>  un <num> un|33059000
39742|creme tratamento  <peso> oil radiante tresemme un|33059000
136950|tinta evolution <num>  <peso>  <num>  <vlm> ou esc acaj do alfa parf un|33059000
39000|creme p pentear elseve  <vlm>  argx<num> rest massa loreal un|33059000
5235|<num> st condicionador babosa|33059000
30367|cond seda oleo hidratacao  <vlm>|33059000
97540|nutricurvas comp cond limpeza  <peso>|33059000
106816|protetor termico dliss lote <num>|33059000
137219|tinta keraton creme  <peso>  <num>  <vlm> ou cl nat cinz kert un|33059000
9579|all soft supple touch  <vlm>  reno|33059000
31318|condicionador  <vlm>  nutricao intensiva niely un|33059000
110060|relaxima care condic umidificador|33059000
25514|co els oleo ex nutri|33059000
106050|prom kit c t <num> <num> castanho medio cpp mini  <peso>   sortido|33059000
136158|tint cor e tom <num> <num> marron dour  un<num>un|33059000
138620|tonaliz seb  <vlm>  celloph verm acobreado|33059000
35315|cr pent niely gold  <peso> r ext brilho e|33059000
10959|ampola bio extratus blond emulsao  <peso>|33059000
109107|queratina liquida  <vlm>  max queratina niely un|33059000
80320|kit g dourada gota shcd melanina|33059000
72742|gel fix bozzano estilo noite <num> forte roxo  <peso>|33059000
2264|<num>nn vero kpak color age defy  <vlm>|33059000
10092|am kit tonalizante <num> sh  argan|33059000
134711|tint cor ton <num> <num> castanho escuro|33059000
105808|pro keratin refill masc  <vlm>|33059000
33724|cp  <vlm>  pure nt <num> <num> medium brwn cc lae p|33059000
40244|ct seda keraforce original  <peso>|33059000
30880|cond belsoft  <vlm>  manteiga karite r<num>|33059000
110749|retok color stick acaju  <peso>|33059000
109723|ref<num>  <num>   davines nat tech nourishing living enzyme infusio  <vlm>|33059000
110557|reparador pontas red aplle  <vlm>  un<num>un|33059000
127996|shp cond dove rec comp <vlm> gtshpmen|33059000
32690|condicionador tresemme keratin smooth  <vlm>|33059000
32176|condicionador kids  <vlm>  nutrikids phisalia un|33059000
6537|<num> st retok sob preto|33059000
131900|sun sublime conditioner  <vlm>|33059000
134930|tint grecin <num> homem cast med esc|33059000
35146|cr pent dove  <vlm>  therapy control queda|33059000
47994|detox serum capilar  <vlm>  tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
80923|kit misto oleos preciosos  <vlm>  c <num> un lote  <num> vencimento  <num> <num> <num>|33059000
137090|tinta hd louro escuro  <peso> r   <num>|33059000
119522|se masc force vector  <peso>|33059000
